CCAA,ppob2019,pvolumen2019,cxcapita2019,ppob2018,pvolumen2018,cxcapita2018
CATALUNA,16.37,17.13,17.95,16.03,16.38,18.16
ARAGON,2.89,2.78,15.9,2.92,2.7,15.94
ILLES BALEARS,2.47,1.74,12.39,2.43,1.88,13.87
COMUNITAT VALENCIANA,10.79,7.92,12.22,10.86,6.96,11.31
REGION DE MURCIA,2.93,2.49,12.98,2.94,2.85,15.62
ANDALUCIA,17.38,14.55,12.57,17.52,14.46,13
COMUNIDAD DE MADRID,14.07,14.64,17.35,14,14.88,18.74
CASTILLA - LA MANCHA,4.22,4.36,15.6,4.24,4.63,17.09
EXTREMADURA,2.31,2.51,16,2.34,2.9,19.66
CASTILLA Y LEON,5.45,7.12,22.23,5.53,7.23,22.53
GALICIA,5.83,7.72,21.31,5.92,8.05,22.68
PRINCIPADO DE ASTURIAS,2.44,2.95,20.6,2.47,2.53,18.77
CANTABRIA,1.3,1.5,19.93,1.29,1.62,23.43
PAIS VASCO,4.89,5.94,21.06,4.84,6.26,23.68
LA RIOJA,0.7,0.65,15.12,0.7,0.67,17.4
C. FORAL DE NAVARRA,1.38,1.43,17.93,1.4,1.47,18.43
CANARIAS,4.58,4.58,15.54,4.57,4.53,15.56
